date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
6-Apr-20,14.3,3.1,0.2,0,0,15,3,3,2,4,2,2,2,2,-73,-27,-8,-80,-76,34,200,52.52
7-Apr-20,15.9,1.7,0,0,0,16,3,3,2,4,2,2,2,2,-72,-16,16,-77,-76,33,283,51.82
8-Apr-20,17.2,3.5,0,0,0,16,3,3,2,4,2,2,2,2,-74,-18,-6,-79,-76,34,306,46.42
9-Apr-20,15.1,5,0,0,0,17,3,3,2,4,2,2,2,2,-73,-15,-25,-80,-76,36,277,32.04
10-Apr-20,20.1,7.5,0,0,0,17,3,3,2,4,2,2,2,2,-75,-17,-15,-81,-81,38,345,42.72
11-Apr-20,20.5,9.9,0,0,0,14,3,3,2,4,2,2,2,2,-77,-11,-17,-76,-60,22,480,2.78
12-Apr-20,11.3,8.3,0.5,0,0,9,3,3,2,4,2,2,2,2,-91,-56,-72,-85,-61,22,425,29.76
13-Apr-20,9.3,1.5,0,0,0,8,3,3,2,4,2,2,2,2,-80,-40,-17,-85,-89,38,405,48.94
14-Apr-20,14.2,-0.8,0,0,0,16,3,3,2,4,2,2,2,2,-74,-24,2,-78,-75,33,476,35.64
15-Apr-20,14.6,1,0,0,0,17,3,3,2,4,2,2,2,2,-75,-24,0,-78,-75,34,226,40.12
16-Apr-20,14.6,3.1,0,0,0,17,3,3,2,4,2,2,2,2,-87,-22,-9,-75,-74,36,361,40.42
17-Apr-20,14.7,8.7,0,0,0,17,3,3,2,4,2,2,2,2,-87,-21,-22,-75,-74,37,435,46.64
18-Apr-20,10.4,7.3,4.2,0,0,13,3,3,2,4,2,2,2,2,-89,-22,-45,-73,-57,23,277,13.86
19-Apr-20,13.4,3.9,0.1,0,0,10,3,3,2,4,2,2,2,2,-89,-30,-31,-73,-53,20,104,4.76
20-Apr-20,13.8,3.8,0,0,0,15,3,3,2,4,2,2,2,2,-87,-28,1,-74,-74,32,129,54.46
21-Apr-20,15.4,7.5,0,0,0,17,3,3,2,4,2,2,2,2,-86,-21,15,-73,-73,32,273,53.26
22-Apr-20,15.2,7.5,0,0,0,17,3,3,2,4,2,2,2,2,-86,-22,-6,-73,-74,33,486,40.6
23-Apr-20,14.6,6.3,0,0,0,18,3,3,2,4,2,2,2,2,-86,-19,-3,-74,-73,32,260,32.7
24-Apr-20,16.8,4.4,0,0,0,18,3,3,2,4,2,2,2,2,-86,-19,-9,-74,-73,35,195,44.42
25-Apr-20,18.1,6,0,0,0,14,3,3,2,4,2,2,2,2,-87,-17,-11,-67,-55,21,311,27.2
26-Apr-20,11.7,8.5,0.1,0,0,10,3,3,2,4,2,2,2,2,-89,-29,-45,-74,-52,20,170,4.2
27-Apr-20,13.4,3.2,0,0,0,16,3,3,2,4,2,2,2,2,-85,-24,14,-72,-73,31,148,57.02
28-Apr-20,12.4,1.3,0,0,0,17,3,3,2,4,2,2,2,2,-85,-20,5,-73,-73,28,199,46.14
29-Apr-20,14.8,5.3,3.8,0,0,17,3,3,2,4,2,2,2,2,-86,-25,-34,-76,-74,34,199,68.24
30-Apr-20,12.4,4.7,2.2,0,0,18,3,3,2,4,2,2,2,2,-77,-22,-40,-76,-73,32,136,28.2
1-May-20,14.3,3.7,0.7,0,0,18,3,3,2,4,2,2,2,2,-76,-18,-23,-75,-72,36,145,112.52
2-May-20,16.4,3.9,0.1,0,0,14,3,3,2,4,2,2,2,2,-78,-14,-2,-66,-52,21,156,61.2
3-May-20,15.6,3.6,0,0,0,11,3,3,2,4,2,2,2,2,-78,-18,4,-67,-47,18,83,9.28
4-May-20,14.6,3.6,0,0,0,10,3,3,2,4,2,2,2,2,-76,-27,54,-76,-86,35,63,62.16
5-May-20,14.1,6.6,0,0,0,19,3,3,2,4,2,2,2,2,-72,-14,35,-69,-71,30,112,81.32
6-May-20,14.7,5.8,0,0,0,19,3,3,2,4,2,2,2,2,-73,-14,38,-69,-71,32,54,133.48
7-May-20,19.2,9.4,1.8,0,0,18,3,3,2,4,2,2,2,2,-74,-17,5,-73,-71,33,58,60.88
8-May-20,18.6,9.6,0,0,0,19,3,3,2,4,2,2,2,2,-73,-12,31,-70,-69,33,105,88.32
9-May-20,19.9,7.5,0,0,0,15,3,3,2,4,2,2,2,2,-76,-9,48,-61,-48,18,141,34.76
10-May-20,11.8,6.5,0,0,0,10,3,3,2,4,2,2,2,2,-80,-29,-51,-76,-47,19,50,10.2
11-May-20,10.3,1.9,0,0,0,17,3,3,2,4,2,2,2,2,-72,-20,15,-71,-70,30,32,94.12
12-May-20,14.4,0.5,0,0,0,18,3,3,2,4,2,2,2,2,-71,-15,23,-70,-69,30,72,112.8
13-May-20,10.9,0.8,0,0,0,19,3,3,2,4,2,2,2,2,-72,-15,-15,-69,-69,32,242,124.96
14-May-20,15,-0.8,0,0,0,20,3,3,2,4,2,2,2,2,-73,-14,-66,-66,-69,30,82,109.4
15-May-20,14.2,3.3,0,0,0,20,3,3,2,4,2,2,2,2,-74,-16,-75,-69,-68,33,37,100.28
16-May-20,17.1,5.9,0,0,0,16,3,3,2,4,2,2,2,2,-76,-12,-69,-59,-47,18,26,63.4
17-May-20,18.3,9.5,0,0,0,13,3,3,2,4,2,2,2,2,-77,-18,-73,-62,-40,17,57,11.36
18-May-20,18.1,11.1,0.9,0,0,20,3,2,2,4,2,1,2,2,-66,-17,-71,-62,-66,28,8,84.08
19-May-20,22.1,10.9,0,0,0,20,3,2,2,4,2,1,2,2,-65,-8,-47,-56,-65,26,42,113.8
20-May-20,23.6,8.3,0,0,0,19,3,2,2,4,2,1,2,2,-64,-5,-2,-55,-65,27,24,111.72
21-May-20,18.1,10.7,2.3,0,0,19,3,2,2,4,2,1,2,2,-65,-9,-42,-62,-65,29,34,73.88
22-May-20,18.2,9.2,1.8,0,0,19,3,2,2,4,2,1,2,2,-67,-9,-63,-66,-63,31,41,111.4
23-May-20,16.4,8.8,0.7,0,0,15,3,2,2,4,2,1,2,2,-70,-7,-59,-59,-40,18,16,38.28
24-May-20,21,8.3,0,0,0,14,3,2,2,4,2,1,2,2,-68,-11,-21,-48,-32,13,20,9.92
25-May-20,19.8,5.4,0,0,0,19,3,2,2,4,2,1,2,2,-61,-10,-21,-57,-64,25,70,73.84
26-May-20,19.8,11.1,0,0,0,20,3,2,2,4,2,1,2,2,-61,-5,-15,-56,-61,25,33,150.36
