date,congestion
12/19/2020,31
12/20/2020,27
12/21/2020,51
12/22/2020,50
12/23/2020,42
12/24/2020,28
12/25/2020,7
12/26/2020,10
12/27/2020,15
12/28/2020,15
12/29/2020,23
12/30/2020,25
12/31/2020,21
1/4/2021,19
1/5/2021,20
1/6/2021,20
1/7/2021,23
1/8/2021,25
1/9/2021,20
1/10/2021,15
1/11/2021,20
1/12/2021,20
1/13/2021,21
1/14/2021,20
1/15/2021,21
1/16/2021,19
1/17/2021,15
1/18/2021,19
1/19/2021,20
1/20/2021,21
1/21/2021,21
1/22/2021,22
1/23/2021,19
1/24/2021,14
1/25/2021,22
1/26/2021,20
1/27/2021,21
1/28/2021,21
1/29/2021,23
1/30/2021,15
1/31/2021,11
2/1/2021,22
2/2/2021,21
2/3/2021,22
2/4/2021,22
2/5/2021,24
2/6/2021,18
2/7/2021,13
2/8/2021,19
2/9/2021,20
2/10/2021,22
2/11/2021,19
2/12/2021,22
2/13/2021,17
2/14/2021,12
2/15/2021,21
2/16/2021,23
2/17/2021,23
2/18/2021,24
2/19/2021,23
2/20/2021,18
2/21/2021,20
2/22/2021,23
2/23/2021,21
2/24/2021,23
2/25/2021,26
2/26/2021,27
2/27/2021,21
2/28/2021,20
3/1/2021,25
3/2/2021,26
3/3/2021,25
3/4/2021,26
3/5/2021,28
3/6/2021,23
3/7/2021,19
3/8/2021,25
3/9/2021,26
3/10/2021,26
3/11/2021,27
3/12/2021,31
3/13/2021,25
3/14/2021,15
3/15/2021,28
3/16/2021,33
3/17/2021,17
3/18/2021,28
3/19/2021,32
3/20/2021,22
3/21/2021,19
3/22/2021,28
3/23/2021,29
3/24/2021,31
3/25/2021,31
3/26/2021,34
3/27/2021,23
3/28/2021,17
3/29/2021,26
3/30/2021,30
3/31/2021,28
4/1/2021,30
4/2/2021,28
4/3/2021,24
4/4/2021,16
4/5/2021,15
4/6/2021,25
4/7/2021,26
4/8/2021,25
4/9/2021,28
4/10/2021,23
4/11/2021,19
4/12/2021,37
4/13/2021,39
4/14/2021,41
4/15/2021,42
4/16/2021,45
4/17/2021,37
4/18/2021,22
4/19/2021,35
4/20/2021,38
4/21/2021,39
4/22/2021,43
4/23/2021,46
4/24/2021,33
4/25/2021,27
4/26/2021,40
4/27/2021,39
4/28/2021,42
4/29/2021,42
4/30/2021,43
5/1/2021,30
5/2/2021,23
5/3/2021,15
5/4/2021,36
5/5/2021,38
5/6/2021,42
5/7/2021,44
5/8/2021,27
5/9/2021,21
5/10/2021,41
5/11/2021,48
5/12/2021,44
5/13/2021,44
5/14/2021,47
5/15/2021,28
5/16/2021,24
5/17/2021,42
5/18/2021,47
5/19/2021,47
5/20/2021,48
5/21/2021,55
5/22/2021,34
5/23/2021,21
5/24/2021,41
5/25/2021,45
5/26/2021,46
5/27/2021,52
5/28/2021,54
5/29/2021,34
5/30/2021,34
5/31/2021,42
6/1/2021,44
6/2/2021,44
6/3/2021,48
6/4/2021,55
6/5/2021,27
6/6/2021,21
6/7/2021,19
6/8/2021,36
6/9/2021,40
6/10/2021,42
6/11/2021,46
6/12/2021,27
6/13/2021,25
6/14/2021,35
6/15/2021,39
6/16/2021,41
6/17/2021,40
6/18/2021,46
6/19/2021,31
6/20/2021,21
6/21/2021,34
6/22/2021,40
6/23/2021,41
6/24/2021,43
6/25/2021,42
6/26/2021,27
6/27/2021,21
6/28/2021,32
6/29/2021,40
6/30/2021,42
7/1/2021,39
7/2/2021,43
7/3/2021,25
7/4/2021,20
7/5/2021,33
7/6/2021,39
7/7/2021,34
7/8/2021,36
7/9/2021,39
7/10/2021,27
7/11/2021,20
7/12/2021,29
7/13/2021,34
7/14/2021,36
7/15/2021,36
7/16/2021,38
7/17/2021,25
7/18/2021,21
7/19/2021,30
7/20/2021,32
7/21/2021,35
7/22/2021,34
7/23/2021,37
7/24/2021,27
7/25/2021,19
7/26/2021,27
7/27/2021,34
7/28/2021,37
7/29/2021,33
7/30/2021,43
7/31/2021,23
8/1/2021,17
8/2/2021,15
8/3/2021,29
8/4/2021,31
8/5/2021,34
8/6/2021,37
8/7/2021,29
8/8/2021,22
8/9/2021,29
8/10/2021,34
8/11/2021,31
8/12/2021,36
8/13/2021,37
8/14/2021,26
8/15/2021,23
8/16/2021,29
8/17/2021,33
8/18/2021,34
8/19/2021,34
8/20/2021,45
8/21/2021,27
8/22/2021,26
8/23/2021,33
8/24/2021,37
8/25/2021,41
8/26/2021,40
8/28/2021,29
8/29/2021,21
8/30/2021,38
8/31/2021,42
9/1/2021,43
9/2/2021,44
9/3/2021,47
9/4/2021,31
9/5/2021,24
9/6/2021,40
9/7/2021,51
9/8/2021,48
9/9/2021,50
9/10/2021,48
9/11/2021,36
9/12/2021,24
9/13/2021,40
9/14/2021,47
9/15/2021,49
9/16/2021,51
9/17/2021,57
9/18/2021,34
9/19/2021,26
9/20/2021,44
9/21/2021,49
9/22/2021,50
9/23/2021,50
9/24/2021,49
9/25/2021,32
9/26/2021,26
9/27/2021,44
9/28/2021,52
9/29/2021,55
9/30/2021,53
10/1/2021,62
10/2/2021,34
10/3/2021,26
10/4/2021,48
10/5/2021,53
10/6/2021,53
10/7/2021,58
10/8/2021,56
10/9/2021,35
10/10/2021,28
10/11/2021,50
10/12/2021,55
10/13/2021,52
10/14/2021,54
10/15/2021,53
10/16/2021,36
10/17/2021,27
10/18/2021,47
10/19/2021,55
10/20/2021,65
10/21/2021,58
10/22/2021,56
10/23/2021,34
10/24/2021,23
10/25/2021,22
10/26/2021,38
10/27/2021,47
10/28/2021,55
10/29/2021,49
10/30/2021,35
10/31/2021,27
11/1/2021,49
11/2/2021,57
11/3/2021,59
11/4/2021,59
11/5/2021,56
11/6/2021,41
11/7/2021,28
11/8/2021,50
11/9/2021,55
11/10/2021,57
11/11/2021,62
11/12/2021,58
11/13/2021,41
11/14/2021,29
11/15/2021,49
11/16/2021,53
11/17/2021,53
11/18/2021,53
11/19/2021,55
11/20/2021,39
11/21/2021,34
11/22/2021,45
11/23/2021,49
11/24/2021,57
11/25/2021,54
11/26/2021,62
11/27/2021,37
11/28/2021,28
11/29/2021,46
11/30/2021,53
12/1/2021,51
12/2/2021,51
12/3/2021,58
12/4/2021,37
12/5/2021,28
12/6/2021,52
12/7/2021,27
12/8/2021,36
12/9/2021,61
12/10/2021,61
12/11/2021,38
12/12/2021,28
12/13/2021,47
12/14/2021,56
12/15/2021,62
12/16/2021,57
12/17/2021,63
12/18/2021,41
12/19/2021,29
12/20/2021,50
12/21/2021,56
12/22/2021,57
12/23/2021,46
12/24/2021,28
12/25/2021,8
12/26/2021,14
12/27/2021,16
12/28/2021,19
12/29/2021,20
12/30/2021,23
12/31/2021,22
1/1/2022,15
1/2/2022,19
1/3/2022,19
1/4/2022,25
1/5/2022,26
1/6/2022,31
1/7/2022,32
1/8/2022,26
1/9/2022,21
1/10/2022,34
1/11/2022,37
1/12/2022,41
1/13/2022,39
1/14/2022,41
1/15/2022,31
1/16/2022,26
1/17/2022,42
1/18/2022,43
1/19/2022,46
1/20/2022,45
1/21/2022,44
1/22/2022,33
1/23/2022,24
1/24/2022,40
1/25/2022,44
1/26/2022,48
1/27/2022,48
